Number,Code,Country
4,AFG ,Afghanistan
24,AGO ,Angola
8,ALB ,Albania
20,AND ,Andorra
784,ARE ,United Arab Emirates
32,ARG ,Argentina
51,ARM ,Armenia
28,ATG ,Antigua and Barbuda
36,AUS ,Australia
40,AUT ,Austria
31,AZE ,Azerbaijan
108,BDI ,Burundi
56,BEL ,Belgium
204,BEN ,Benin
854,BFA ,Burkina Faso
50,BGD ,Bangladesh
100,BGR ,Bulgaria
48,BHR ,Bahrain
44,BHS ,Bahamas
70,BIH ,Bosnia and Herzegovina
112,BLR ,Belarus
84,BLZ ,Belize
68,BOL ,Bolivia
76,BRA ,Brazil
52,BRB ,Barbados
96,BRN ,Brunei Darussalam
64,BTN ,Bhutan
72,BWA ,Botswana
140,CAF ,Central African Republic
124,CAN ,Canada
756,CHE ,Switzerland
152,CHL ,Chile
156,CHN ,China
384,CIV ,Côte d'Ivoire
120,CMR ,Cameroon
180,COD ,Democratic Republic of the Congo
178,COG ,Congo
184,COK ,Cook Islands
170,COL ,Colombia
174,COM ,Comoros
132,CPV ,Cabo Verde
188,CRI ,Costa Rica
192,CUB ,Cuba
196,CYP ,Cyprus
203,CZE ,Czech Republic
276,DEU ,Germany
262,DJI ,Djibouti
212,DMA ,Dominica
208,DNK ,Denmark
214,DOM ,Dominican Republic
12,DZA ,Algeria
218,ECU ,Ecuador
818,EGY ,Egypt
232,ERI ,Eritrea
724,ESP ,Spain
233,EST ,Estonia
231,ETH ,Ethiopia
246,FIN ,Finland
242,FJI ,Fiji
250,FRA ,France
583,FSM ,Micronesia
266,GAB ,Gabon
826,GBR ,United Kingdom
268,GEO ,Georgia
288,GHA ,Ghana
324,GIN ,Guinea
270,GMB ,Gambia
624,GNB ,Guinea-Bissau
226,GNQ ,Equatorial Guinea
300,GRC ,Greece
308,GRD ,Grenada
320,GTM ,Guatemala
328,GUY ,Guyana
340,HND ,Honduras
191,HRV ,Croatia
332,HTI ,Haiti
348,HUN ,Hungary
360,IDN ,Indonesia
356,IND ,India
372,IRL ,Ireland
364,IRN ,Iran
368,IRQ ,Iraq
352,ISL ,Iceland
376,ISR ,Israel
380,ITA ,Italy
388,JAM ,Jamaica
400,JOR ,Jordan
392,JPN ,Japan
398,KAZ ,Kazakhstan
404,KEN ,Kenya
417,KGZ ,Kyrgyzstan
116,KHM ,Cambodia
296,KIR ,Kiribati
659,KNA ,Saint Kitts and Nevis
410,KOR ,Republic of Korea
414,KWT ,Kuwait
418,LAO ,Laos
422,LBN ,Lebanon
430,LBR ,Liberia
434,LBY ,Libya
662,LCA ,Saint Lucia
144,LKA ,Sri Lanka
426,LSO ,Lesotho
440,LTU ,Lithuania
442,LUX ,Luxembourg
428,LVA ,Latvia
504,MAR ,Morocco
492,MCO ,Monaco
498,MDA,Moldova
450,MDG ,Madagascar
462,MDV ,Maldives
484,MEX ,Mexico
584,MHL ,Marshall Islands
807,MKD ,Macdeonia
466,MLI ,Mali
470,MLT ,Malta
104,MMR ,Myanmar
499,MNE,Montenegro
496,MNG ,Mongolia
508,MOZ ,Mozambique
478,MRT ,Mauritania
480,MUS ,Mauritius
454,MWI ,Malawi
458,MYS ,Malaysia
516,NAM ,Namibia
562,NER ,Niger
566,NGA ,Nigeria
558,NIC ,Nicaragua
570,NIU ,Niue
528,NLD ,Netherlands
578,NOR ,Norway
524,NPL ,Nepal
520,NRU ,Nauru
554,NZL ,New Zealand
512,OMN ,Oman
586,PAK ,Pakistan
591,PAN ,Panama
604,PER ,Peru
608,PHL ,Philippines
585,PLW ,Palau
598,PNG ,Papua New Guinea
616,POL ,Poland
408,PRK ,Democratic People's Republic of Korea
620,PRT ,Portugal
600,PRY ,Paraguay
634,QAT ,Qatar
642,ROU ,Romania
643,RUS ,Russia
646,RWA ,Rwanda
682,SAU ,Saudi Arabia
729,SDN ,Sudan
686,SEN ,Senegal
702,SGP ,Singapore
90,SLB ,Solomon Islands
694,SLE ,Sierra Leone
222,SLV ,El Salvador
674,SMR ,San Marino
706,SOM ,Somalia
688,SRB,Serbia
728,SSD,South Sudan
678,STP ,Sao Tome and Principe
740,SUR ,Suriname
703,SVK ,Slovakia
705,SVN ,Slovenia
752,SWE ,Sweden
748,SWZ ,Swaziland
690,SYC ,Seychelles
760,SYR ,Syrian Arab Republic
148,TCD ,Chad
768,TGO ,Togo
764,THA ,Thailand
762,TJK ,Tajikistan
795,TKM ,Turkmenistan
626,TLS,Timor-Leste
776,TON ,Tonga
780,TTO ,Trinidad and Tobago
788,TUN ,Tunisia
792,TUR ,Turkey
798,TUV ,Tuvalu
834,TZA ,Tanzania
800,UGA ,Uganda
804,UKR ,Ukraine
858,URY ,Uruguay
840,USA ,Untied States
860,UZB ,Uzbekistan
670,VCT ,Saint Vincent and the Grenadines
862,VEN ,Venezuela
704,VNM ,Viet Nam
548,VUT ,Vanuatu
882,WSM ,Samoa
887,YEM ,Yemen
710,ZAF ,South Africa
894,ZMB ,Zambia
716,ZWE ,Zimbabwe