Country,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2014,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2013,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2012,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2011,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2010,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2009,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2008,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2007,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2006,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2005,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2004,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2003,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2002,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2001,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 2000,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1999,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1998,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1997,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1996,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1995,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1994,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1993,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1992,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1991,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1990,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1989,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1988,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1987,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1986,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1985,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1984,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1983,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1982,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1981,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%); 1980
Afghanistan,75,70,67,68,66.0,63.0,64.0,63.0,58.0,58.0,50.0,41.0,36.0,33.0,24.0,27.0,27.0,28.0,31.0,20.0,12.0,18.0,21.0,23.0,25.0,33.0,35.0,25.0,11.0,15.0,16.0,5.0,5.0,3.0,4.0
Albania,98,99,99,99,99.0,98.0,99.0,98.0,97.0,98.0,97.0,97.0,98.0,97.0,97.0,97.0,96.0,99.0,98.0,97.0,99.0,96.0,94.0,78.0,94.0,94.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0
Algeria,95,95,95,95,95.0,95.0,93.0,95.0,95.0,88.0,86.0,87.0,86.0,89.0,86.0,83.0,85.0,89.0,88.0,88.0,87.0,88.0,88.0,89.0,89.0,87.0,85.0,79.0,73.0,69.0,,,,,
Andorra,97,96,99,99,99.0,99.0,99.0,96.0,93.0,98.0,99.0,99.0,97.0,96.0,98.0,90.0,89.0,90.0,,,,,,,,,,,,,,,,,
Angola,80,93,91,86,91.0,73.0,81.0,83.0,44.0,47.0,47.0,46.0,47.0,42.0,31.0,21.0,47.0,41.0,28.0,24.0,27.0,30.0,21.0,26.0,24.0,18.0,12.0,10.0,10.0,8.0,8.0,6.0,,,
Antigua and Barbuda,99,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,98.0,97.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,99.0,99.0,98.0,97.0,96.0,99.0,94.0,99.0,79.0,79.0,54.0
Argentina,94,94,91,92,94.0,94.0,94.0,91.0,91.0,98.0,93.0,96.0,93.0,83.0,83.0,86.0,84.0,88.0,83.0,85.0,82.0,81.0,81.0,80.0,87.0,80.0,80.0,75.0,67.0,66.0,62.0,61.0,58.0,49.0,44.0
Armenia,93,95,95,95,94.0,93.0,89.0,88.0,87.0,90.0,91.0,94.0,94.0,94.0,93.0,91.0,82.0,88.0,86.0,98.0,86.0,85.0,85.0,,,,,,,,,,,,
Australia,92,91,92,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,92.0,92.0,90.0,88.0,82.0,77.0,86.0,86.0,88.0,90.0,91.0,93.0,95.0,93.0,88.0,81.0,75.0,68.0,62.0,55.0,48.0,40.0,33.0
Austria,83,83,83,83,83.0,83.0,83.0,85.0,83.0,86.0,83.0,84.0,83.0,84.0,81.0,74.0,82.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Azerbaijan,94,93,89,87,81.0,81.0,81.0,79.0,78.0,75.0,77.0,77.0,76.0,77.0,76.0,75.0,73.0,70.0,74.0,74.0,69.0,66.0,58.0,,,,,,,,,,,,
Bahamas,96,97,98,98,99.0,96.0,93.0,95.0,95.0,93.0,93.0,92.0,94.0,99.0,99.0,82.0,89.0,86.0,85.0,87.0,91.0,91.0,92.0,92.0,86.0,86.0,85.0,85.0,85.0,86.0,69.0,65.0,69.0,55.0,36.0
Bahrain,99,99,99,99,99.0,98.0,98.0,97.0,98.0,98.0,98.0,97.0,98.0,99.0,97.0,97.0,98.0,98.0,96.0,95.0,96.0,94.0,94.0,99.0,94.0,96.0,96.0,95.0,92.0,90.0,86.0,83.0,79.0,75.0,72.0
Bangladesh,95,95,95,95,94.0,97.0,96.0,94.0,94.0,93.0,99.0,87.0,83.0,85.0,82.0,80.0,77.0,78.0,77.0,69.0,84.0,74.0,66.0,74.0,69.0,49.0,16.0,9.0,4.0,2.0,1.0,1.0,1.0,1.0,
Barbados,94,91,87,91,86.0,93.0,85.0,93.0,84.0,92.0,93.0,89.0,87.0,84.0,93.0,87.0,93.0,96.0,85.0,93.0,90.0,86.0,90.0,82.0,91.0,78.0,76.0,79.0,79.0,83.0,83.0,69.0,62.0,58.0,60.0
Belarus,97,98,98,98,98.0,96.0,97.0,95.0,99.0,99.0,99.0,50.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,96.0,92.0,91.0,90.0,,,,,,,,,,,,
Belgium,99,99,99,98,98.0,98.0,99.0,98.0,98.0,97.0,95.0,95.0,95.0,95.0,95.0,87.0,79.0,87.0,95.0,94.0,96.0,97.0,95.0,92.0,93.0,94.0,80.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Belize,95,95,98,95,96.0,97.0,94.0,96.0,98.0,96.0,97.0,96.0,89.0,96.0,91.0,87.0,87.0,86.0,85.0,83.0,88.0,85.0,74.0,82.0,91.0,79.0,61.0,85.0,82.0,58.0,53.0,59.0,61.0,44.0,47.0
Benin,70,69,76,75,76.0,79.0,75.0,82.0,74.0,70.0,72.0,73.0,75.0,76.0,78.0,74.0,70.0,66.0,66.0,67.0,81.0,75.0,73.0,69.0,74.0,48.0,30.0,25.0,17.0,17.0,,,,,
Bhutan,99,97,97,95,91.0,93.0,96.0,95.0,95.0,95.0,89.0,95.0,86.0,88.0,92.0,90.0,86.0,87.0,87.0,87.0,86.0,79.0,86.0,91.0,96.0,76.0,70.0,63.0,53.0,41.0,28.0,16.0,15.0,13.0,6.0
Bolivia (Plurinational State of),94,94,93,95,91.0,93.0,88.0,84.0,83.0,85.0,84.0,88.0,77.0,71.0,75.0,77.0,61.0,58.0,61.0,64.0,58.0,52.0,45.0,43.0,41.0,52.0,28.0,35.0,42.0,33.0,6.0,10.0,12.0,13.0,11.0
Bosnia and Herzegovina,86,89,92,88,89.0,90.0,91.0,95.0,87.0,93.0,84.0,87.0,80.0,91.0,85.0,90.0,89.0,79.0,67.0,55.0,82.0,38.0,58.0,,,,,,,,,,,,
Botswana,95,95,95,95,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,96.0,96.0,95.0,94.0,94.0,94.0,93.0,92.0,92.0,88.0,88.0,86.0,84.0,83.0,82.0,82.0,75.0,71.0
Brazil,93,97,95,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,94.0,93.0,79.0,77.0,81.0,74.0,75.0,71.0,78.0,66.0,56.0,58.0,58.0,58.0,66.0,68.0,60.0,56.0,47.0,37.0
Brunei Darussalam,99,99,90,97,95.0,99.0,98.0,99.0,97.0,94.0,92.0,92.0,94.0,97.0,99.0,92.0,97.0,99.0,99.0,99.0,99.0,99.0,96.0,95.0,93.0,91.0,89.0,85.0,86.0,88.0,96.0,85.0,99.0,94.0,89.0
Bulgaria,88,95,95,95,94.0,94.0,95.0,95.0,95.0,96.0,95.0,96.0,93.0,94.0,93.0,96.0,95.0,94.0,95.0,96.0,93.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
Burkina Faso,91,88,90,91,91.0,92.0,93.0,89.0,86.0,82.0,79.0,79.0,69.0,62.0,45.0,15.0,15.0,39.0,37.0,34.0,36.0,39.0,39.0,53.0,66.0,44.0,34.0,23.0,19.0,9.0,,,,,
Burundi,95,96,96,96,96.0,94.0,92.0,99.0,92.0,87.0,83.0,82.0,81.0,81.0,80.0,79.0,65.0,74.0,73.0,73.0,48.0,63.0,80.0,83.0,86.0,82.0,51.0,68.0,55.0,36.0,26.0,44.0,33.0,36.0,
Cote d'Ivoire,67,80,82,62,85.0,81.0,74.0,76.0,77.0,76.0,67.0,61.0,64.0,66.0,65.0,58.0,58.0,58.0,55.0,52.0,50.0,50.0,49.0,39.0,54.0,42.0,31.0,31.0,30.0,25.0,19.0,,,,
Cabo Verde,95,93,94,90,99.0,99.0,99.0,98.0,96.0,95.0,93.0,92.0,91.0,90.0,90.0,89.0,88.0,87.0,88.0,88.0,89.0,89.0,88.0,87.0,88.0,99.0,88.0,92.0,54.0,39.0,31.0,23.0,,,
Cambodia,97,92,95,94,92.0,94.0,91.0,82.0,80.0,82.0,85.0,69.0,54.0,60.0,59.0,53.0,47.0,46.0,43.0,39.0,37.0,35.0,32.0,38.0,38.0,47.0,45.0,37.0,37.0,23.0,17.0,,,,
Cameroon,87,89,85,82,84.0,80.0,84.0,82.0,81.0,80.0,73.0,73.0,66.0,63.0,62.0,59.0,56.0,48.0,46.0,46.0,38.0,37.0,37.0,42.0,48.0,56.0,50.0,44.0,39.0,33.0,27.0,25.0,15.0,5.0,
Canada,96,96,95,96,96.0,95.0,95.0,94.0,95.0,93.0,91.0,91.0,88.0,89.0,89.0,90.0,90.0,86.0,90.0,87.0,93.0,90.0,89.0,88.0,88.0,87.0,86.0,85.0,,,,,,,
Central African Republic,47,23,47,47,45.0,42.0,45.0,48.0,51.0,54.0,51.0,47.0,44.0,40.0,37.0,33.0,43.0,43.0,48.0,53.0,48.0,47.0,45.0,64.0,82.0,64.0,42.0,22.0,19.0,20.0,17.0,16.0,14.0,11.0,13.0
Chad,46,48,45,33,39.0,24.0,19.0,28.0,40.0,25.0,21.0,23.0,25.0,26.0,36.0,45.0,35.0,24.0,20.0,18.0,18.0,13.0,10.0,18.0,20.0,20.0,14.0,14.0,10.0,3.0,3.0,1.0,,,
Chile,92,91,90,94,92.0,94.0,95.0,96.0,94.0,91.0,93.0,96.0,97.0,97.0,91.0,95.0,90.0,90.0,91.0,94.0,94.0,90.0,90.0,94.0,95.0,95.0,96.0,93.0,90.0,99.0,99.0,89.0,99.0,99.0,93.0
China,99,99,99,99,99.0,99.0,97.0,93.0,93.0,87.0,87.0,86.0,86.0,86.0,85.0,85.0,84.0,84.0,83.0,80.0,85.0,88.0,91.0,94.0,97.0,95.0,95.0,75.0,78.0,78.0,73.0,58.0,,,
Colombia,90,91,91,85,88.0,92.0,92.0,93.0,93.0,93.0,89.0,92.0,81.0,80.0,79.0,74.0,73.0,84.0,85.0,85.0,85.0,88.0,78.0,84.0,88.0,78.0,74.0,58.0,48.0,61.0,61.0,42.0,26.0,20.0,16.0
Comoros,80,83,86,83,74.0,83.0,81.0,75.0,69.0,68.0,76.0,80.0,89.0,70.0,70.0,73.0,75.0,48.0,60.0,75.0,58.0,70.0,38.0,52.0,94.0,82.0,43.0,71.0,71.0,51.0,31.0,,,,
Congo,90,85,79,80,74.0,78.0,79.0,72.0,73.0,62.0,67.0,50.0,41.0,31.0,33.0,29.0,26.0,23.0,37.0,50.0,55.0,60.0,67.0,74.0,79.0,79.0,72.0,72.0,71.0,54.0,53.0,50.0,47.0,42.0,42.0
Cook Islands,99,98,98,93,99.0,82.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,90.0,92.0,92.0,93.0,93.0,75.0,93.0,86.0,99.0,87.0,87.0,93.0,89.0,94.0,83.0,87.0,78.0,48.0,57.0,51.0,46.0,40.0
Costa Rica,91,95,91,85,88.0,86.0,90.0,89.0,89.0,91.0,90.0,88.0,94.0,91.0,88.0,86.0,85.0,94.0,85.0,85.0,88.0,88.0,90.0,90.0,95.0,86.0,87.0,94.0,89.0,90.0,93.0,86.0,81.0,85.0,86.0
Croatia,95,96,96,96,97.0,96.0,96.0,96.0,96.0,96.0,96.0,94.0,95.0,94.0,93.0,93.0,93.0,92.0,91.0,90.0,87.0,85.0,83.0,,,,,,,,,,,,
Cuba,96,96,96,96,96.0,96.0,95.0,93.0,89.0,89.0,88.0,72.0,99.0,98.0,95.0,95.0,99.0,99.0,90.0,99.0,99.0,99.0,94.0,99.0,92.0,96.0,98.0,87.0,99.0,91.0,86.0,99.0,99.0,68.0,67.0
Cyprus,99,99,99,99,99.0,99.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,98.0,98.0,98.0,96.0,95.0,95.0,94.0,94.0,93.0,93.0,90.0,93.0,91.0,61.0,30.0,34.0,26.0,56.0,34.0
Czech Republic,99,99,99,99,99.0,99.0,99.0,99.0,98.0,97.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,98.0,99.0,,,,,,,,,,,,,
Democratic People's Republic of Korea,93,93,96,94,93.0,93.0,92.0,92.0,89.0,79.0,72.0,68.0,64.0,62.0,56.0,50.0,43.0,37.0,50.0,64.0,77.0,90.0,90.0,97.0,98.0,97.0,87.0,86.0,61.0,55.0,67.0,52.0,51.0,52.0,50.0
Democratic Republic of the Congo,80,74,75,74,60.0,72.0,65.0,70.0,62.0,60.0,54.0,41.0,38.0,30.0,40.0,25.0,18.0,18.0,18.0,23.0,26.0,29.0,23.0,16.0,35.0,38.0,41.0,38.0,32.0,37.0,27.0,16.0,17.0,18.0,
Denmark,94,94,94,91,90.0,89.0,88.0,87.0,93.0,93.0,95.0,96.0,98.0,97.0,97.0,99.0,99.0,92.0,77.0,90.0,89.0,88.0,91.0,90.0,90.0,89.0,87.0,88.0,89.0,90.0,86.0,86.0,87.0,88.0,88.0
Djibouti,78,82,81,87,88.0,89.0,89.0,88.0,72.0,71.0,64.0,68.0,62.0,53.0,46.0,23.0,23.0,32.0,41.0,41.0,41.0,41.0,41.0,53.0,85.0,77.0,65.0,25.0,24.0,22.0,21.0,14.0,6.0,,
