Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG ,,,,,,,,,,,,,,,,,,,63,64,63,66,68,71,71
AGO ,,,,,,,,,,,,,,,,,,,83,81,73,91,86,91,93
ALB ,,,,,,99,88,96,97,94,96,96,96,96,97,99,98,98,98,99,98,99,99,99,99
AND ,,,,,,,,,75,80,75,84,84,84,81,77,79,84,91,94,96,96,99,97,94
ARE ,,,,,90,90,90,90,90,96,92,92,92,92,92,92,92,92,92,92,93,94,94,94,94
ARG ,,,,,,,,,,,,,,66,90,94,88,84,85,90,93,94,92,91,87
ARM ,,,,,,,,,,,,55,69,91,93,91,91,78,85,89,93,94,95,95,95
ATG ,,,,,,,,,,,,,96,99,99,97,99,99,97,98,98,98,99,98,98
AUS ,,,,,,,,,,,,,94,95,95,95,95,95,94,94,94,92,92,91,91
AUT ,,,,,,,,,,,,33,44,81,83,83,86,83,85,83,83,83,83,83,83
AZE ,,,,,,,,,,,,,,50,51,50,49,52,62,68,74,80,84,88,93
BDI ,,,,,,,,,,,,,,,,83,87,92,99,92,94,96,96,96,96
BEL ,,,,,,,,,2,31,46,60,60,60,65,65,77,94,94,98,97,97,97,98,98
BEN ,,,,,,,,,,,,,,15,73,75,70,74,82,78,83,83,85,85,78
BFA ,,,,,,,,,,,,,,,,,,76,89,93,92,91,91,90,88
BGD ,,,,,,,,,,,,,,,5,11,45,86,95,96,97,94,96,97,97
BGR ,,,,71,96,94,95,94,77,97,97,94,93,88,96,94,96,96,95,96,96,95,96,95,95
BHR ,,,,57,90,93,95,96,95,95,97,97,99,98,98,98,98,98,97,98,98,99,99,99,99
BHS ,,,,,,,,,,,,,21,89,88,93,93,96,93,90,95,98,95,96,97
BIH ,,,,,,,,,,,,,,,,36,93,90,94,88,90,89,88,92,92
BLR ,,,,,,,,,,,,70,93,99,56,99,99,98,91,98,98,96,98,97,98
BLZ ,,,,,,,,,,,,76,96,97,96,97,96,98,96,94,97,96,95,98,95
BOL ,,,,,,,,,,,,77,77,77,80,84,85,83,84,88,93,91,95,93,94
BRA ,,,,,,4,10,15,6,13,84,94,91,92,92,90,92,99,99,96,99,96,98,97,95
BRB ,,,,,,,,,,,,,18,66,91,93,92,84,93,85,93,86,91,87,87
BRN ,,96,96,96,99,99,99,98,98,99,93,99,99,99,99,99,99,99,97,96,96,96,93,99,99
BTN ,,,,,,,,16,84,81,90,98,89,83,95,89,95,95,95,96,93,91,95,97,97
BWA ,,,,,,,73,62,60,77,85,86,87,88,90,91,92,93,94,94,95,95,96,96,96
CAF ,,,,,,,,,,,,,,,,,,,,,42,45,47,47,23
CAN ,,,,,,,,,,,,,,,14,14,14,14,14,28,42,56,70,70,75
CHL ,,,,,,,,,,,,,,,,,,95,92,95,94,92,94,90,90
CHN ,,,,,,,,,,,,60,65,70,75,79,84,91,92,95,99,99,99,99,99
CIV ,,,,,,,,,,,,,10,48,63,67,76,77,76,74,81,85,62,82,88
CMR ,,,,,,,,,,,,,,,,,79,81,82,84,80,84,82,85,89
COD ,,,,,,,,,,,,,,,,,,,70,65,72,60,74,72,72
COG ,,,,,,,,,,,,,,,,,,,64,73,75,74,74,69,69
COK ,,71,85,98,76,79,85,65,99,88,90,98,93,93,93,99,99,99,99,99,82,99,93,98,98
COL ,,,,,,,71,95,85,75,77,78,80,78,92,89,93,93,93,92,92,88,85,92,91
COM ,,,,,,,,,,,,,,,28,77,68,69,75,81,83,74,83,86,83
CPV ,,,,,,,,,,,,,,40,66,91,93,95,96,98,98,98,90,94,93
CRI ,,,,,,,,,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91,94
CUB ,,,,,84,98,99,99,98,98,99,98,98,98,99,99,95,89,93,95,96,96,96,96,96
CYP ,,,20,27,41,54,68,88,88,88,89,89,89,88,88,88,88,93,93,93,96,96,96,96,96
CZE ,,,,,,,,,,,,,,86,92,98,99,98,99,99,99,99,99,99,99
DEU ,,,,,15,32,45,57,71,81,81,84,86,87,90,88,90,87,86,87,87,87,87,87,87
DJI ,,,,,,,,,,,,,,,,,,,25,88,89,88,87,81,82
DMA ,,,,,,,,,,,,,,,,,,7,93,96,99,98,98,97,96
DOM ,,,,,,,,,,62,76,68,66,62,79,82,87,84,81,88,85,84,80,74,80
DZA ,,,,,,,,,,,,,,,,81,83,80,90,91,94,95,95,95,95
ECU ,,,,,,,,,,,,38,71,77,84,90,94,98,98,98,98,98,98,98,98
EGY ,,,,,,57,74,77,81,88,97,98,99,97,98,97,98,98,98,97,97,97,96,93,97
ERI ,,,,,,,,,,,,,,86,91,84,96,94,91,94,92,90,96,94,94
ESP ,,,,,,,,82,84,81,80,77,83,82,81,78,81,81,96,97,96,97,97,96,95
EST ,,,,,,,,,,,,,,,,90,95,95,95,94,95,94,94,94,93
ETH ,,,,,,,,,,,,,,,,,,,47,52,56,62,65,69,72
FJI ,,,,,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99
FRA ,,,,,,,,,,27,24,26,28,29,28,35,35,39,42,47,51,65,74,74,74
FSM ,47,56,65,73,82,82,82,80,78,79,77,87,81,85,89,80,91,84,90,89,89,88,83,82,83
GAB ,,,,,,,,,,,,,,,,,28,52,75,82,79,67,75,82,79
GEO ,,,,,,,,,,,,55,61,51,49,64,74,83,94,89,54,95,92,92,93
GHA ,,,,,,,,,,,,,,80,80,80,84,84,94,93,94,94,91,92,90
GIN ,,,,,,,,,,,,,,,,,,,57,57,57,64,63,63,63
GMB ,,,78,,56,57,87,88,94,92,93,91,91,92,94,95,95,95,97,98,97,97,96,98,97
GNB ,,,,,,,,,,,,,,,,,,,,,76,76,76,76,76
GRC ,,,10,15,2,2,12,12,50,69,88,89,90,91,92,92,93,94,95,95,95,95,95,98,98
GRD ,,,,,,,,,,,,,96,98,97,83,99,91,96,99,99,97,94,97,97
GTM ,,,,,,,,,,,,,,,,,87,89,85,95,92,94,88,96,85
GUY ,,,,,,,,,,,,,85,91,90,91,93,93,94,93,98,95,93,97,98
HND ,,,,,,,,,,,,94,96,95,92,94,98,95,94,93,98,95,91,88,87
HRV ,,,,,,,,,,,,,,,,,,,95,97,97,97,97,98,96
HTI ,,,,,,,,,,,,,,,,,,,,,,,,,68
IDN ,,,,28,43,42,50,62,65,76,77,65,62,63,64,64,65,66,76,82,82,83,81,83,85
IND ,,,,,,,,,,,,,,,,6,8,6,6,21,34,37,47,70,67
IRL ,,,,,,,,,,,,,,,,,,,,,,46,95,95,95
IRN ,,,,,,62,59,84,93,94,95,99,94,99,98,95,94,98,97,99,99,99,99,98,99
IRQ ,,,,,,40,57,22,65,3,52,67,66,65,63,62,65,59,56,66,75,72,77,61,66
ISR ,,,,92,92,92,93,96,97,97,97,97,96,98,95,99,96,94,97,96,99,97,98,98,98
ITA ,,,95,95,95,95,95,95,95,95,97,94,95,95,95,96,96,96,97,96,96,96,96,97,97
JAM ,,,,,,,,,,,,,,,36,98,99,97,92,92,90,94,92,96,93
JOR ,,,,,,,54,85,90,91,92,93,97,95,97,95,95,98,98,97,98,98,98,98,98
KAZ ,,,,,,,,,,49,90,99,95,95,99,99,94,99,94,99,99,99,99,95,99
KEN ,,,,,,,,,,,,,,84,73,73,76,80,81,85,84,83,88,83,83
KGZ ,,,,,,,,,,,10,44,57,99,99,99,97,90,94,97,96,96,96,96,97
KHM ,,,,,,,,,,,,,,,,,,80,82,91,92,92,94,95,92
KIR ,,73,7,6,8,36,36,66,97,89,82,90,85,79,73,67,50,88,96,83,86,91,95,94,95
KNA ,,,,,,,,,,99,99,99,99,96,99,96,99,99,99,98,97,96,98,98,97
KOR ,,,,,,,99,93,88,82,88,93,89,92,91,92,99,99,91,94,94,94,99,99,99
KWT ,,,,38,91,93,99,99,98,99,95,95,99,99,99,94,99,99,99,99,99,99,99,98,99
LAO ,,,,,,,,,,,,,,,50,45,49,57,50,61,67,74,78,79,87
LBN ,,,,,,,,,,,86,83,80,77,74,75,77,78,80,81,81,81,81,81,81
LBR ,,,,,,,,,,,,,,,,,,,,64,64,47,77,93,89
LBY ,,,,88,91,92,92,93,91,92,92,92,93,91,96,99,97,98,98,98,98,98,98,98,98
LCA ,,,,,,,,,,,,,,14,84,91,95,85,99,96,95,97,99,98,99
LKA ,,,,,,,,,,,,,,,32,62,99,98,98,98,97,99,99,99,99
LSO ,,,,,,,,,,,,,,,17,60,87,91,90,88,91,93,96,96,96
LTU ,,,,,,,,,,73,96,98,95,94,95,94,95,95,96,96,95,94,95,93,93
LUX ,,,,,,,,,49,58,67,77,86,95,95,94,95,95,87,94,95,94,95,94,94
LVA ,,,,,,,,,,9,94,95,96,98,98,98,98,97,97,95,93,91,90,91,95
MAR ,,,,,,,,,,,10,43,84,92,90,95,96,95,95,97,98,98,98,99,99
MCO ,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
MDA,,,,,,,19,81,87,93,94,92,94,99,99,99,99,98,95,97,89,98,96,94,91
MDG ,,,,,,,,,,,,,,51,61,71,81,82,84,77,77,70,73,70,74
MDV ,,,,,21,63,80,96,50,45,90,96,98,98,98,97,98,98,98,98,98,97,96,99,99
MEX ,,,,,,,,,,,,97,97,97,98,98,98,98,98,97,95,93,98,99,82
MHL ,3,10,17,24,17,46,47,68,70,80,80,38,76,80,74,72,89,97,93,97,99,97,89,80,41
MKD ,,,,,,,,,,,,,,,,,53,89,96,97,95,90,96,98,97
MLI ,,,,,,,,,,,,,,,79,73,83,90,74,74,73,76,72,74,74
MLT ,,,,,,,,,,,,,,,89,85,85,86,82,86,86,75,82,93,94
MMR ,,,,,,,,,,,,,,,8,39,62,75,85,84,90,90,38,55,72
MNE,,,,,,,,,,,,,,,,,,90,90,93,87,90,91,90,90
MNG ,,,18,47,69,67,88,93,88,91,92,93,95,98,98,98,98,98,98,96,97,96,99,99,98
MOZ ,,,,,,,,,,,,,25,76,76,76,75,75,75,75,74,74,76,76,78
MRT ,,,,,,,,,,,,,,,,,42,68,74,74,64,64,75,80,80
MUS ,,,,,,,,,90,90,85,88,92,88,92,98,97,97,97,99,99,99,98,98,98
MWI ,,,,,,,,,,,,,,64,84,89,93,99,87,91,93,93,97,96,89
MYS ,69,86,89,86,86,94,96,96,97,96,96,97,95,95,95,94,96,95,96,97,96,96,96,97,96
NAM ,,,,,,,,,,,,,,,,,,,,,,83,82,84,89
NER ,,,,,,,,,,,,,,,,,,,,,71,70,75,74,70
NGA ,,,,,,,,,,,,,,,,,18,27,42,41,63,49,31,47,63
NIC ,,,,,,,,,,,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98
NIU ,,,99,99,99,99,90,99,99,99,99,99,99,98,94,99,85,99,98,99,99,99,98,98,99
NLD ,,,,,,,,,,,,,,,,,,,,,,,,,95
NPL ,,,,,,,,,,,,,,,2,27,41,69,82,82,89,82,92,90,92
NRU ,,,79,90,99,79,57,72,86,29,62,58,95,75,77,78,80,99,99,99,99,99,99,79,79
NZL ,,,,67,74,81,88,94,99,87,89,90,90,89,89,88,87,87,88,90,93,90,95,93,93
OMN ,,,94,99,96,99,99,99,99,98,99,99,99,99,99,98,98,98,99,98,97,98,99,97,97
PAK ,,,,,,,,,,,,,,,63,65,70,78,75,65,78,82,78,72,72
PAN ,,,,,,,,,,,,,98,98,98,95,92,88,85,86,85,94,87,85,80
PER ,,,,,,,,,,,,,,,65,92,94,94,93,93,93,93,91,95,88
PHL ,,,,,,,38,35,31,30,32,7,45,42,52,48,49,77,87,88,85,77,76,70,94
PLW ,,,89,75,94,73,99,99,90,96,96,96,98,99,99,98,98,98,91,92,69,80,91,89,99
PNG ,,20,19,12,7,20,23,43,44,47,54,57,59,60,67,60,63,70,59,56,62,56,61,63,68
POL ,,,1,1,1,4,23,56,97,99,99,99,95,98,97,98,98,98,98,98,98,98,98,97,96
PRK ,,,,,,,,,,,,,,,27,98,92,96,92,91,92,92,92,94,93
PRT ,,,,,,,6,34,49,64,61,58,70,82,94,94,94,97,97,97,96,97,98,98,98
PRY ,,,,,,,,,,,,,,,86,90,92,92,86,87,85,89,89,87,86
QAT ,,,86,89,93,90,90,90,90,92,92,89,93,98,93,97,97,96,94,97,99,97,93,92,99
ROU ,,,,,,,,99,99,99,99,98,98,99,98,99,98,99,99,97,95,98,96,96,96
RUS ,,,,,,,,,,,,,46,82,94,96,97,98,98,98,98,97,97,97,97
RWA ,,,,,,,,,,,,,,88,96,89,95,99,97,97,97,97,97,98,98
SAU ,,66,86,89,93,94,93,92,91,95,92,93,95,97,95,96,97,96,96,98,98,98,98,98,98
SDN ,,,,,,,,,,,,,,,,,22,60,78,78,72,75,93,92,93
SEN ,,,,,,,,,,,,,,,,54,84,89,94,88,86,89,92,91,92
SGP ,,74,76,78,90,94,96,96,97,96,96,97,95,95,95,94,96,94,95,96,97,96,96,97,97
SLB ,,,,,53,65,68,97,73,74,76,77,78,69,71,72,73,93,79,77,81,79,88,90,83
SLE ,,,,,,,,,,,,,,,,,,,63,77,84,86,89,91,92
SLV ,,,,,,,,,,,1,99,75,81,94,90,89,96,99,98,91,89,89,92,92
SMR ,,,99,99,98,98,98,98,97,,97,94,95,95,96,97,95,95,92,87,92,78,86,96,69
SOM ,,,,,,,,,,,,,,,,,,,,,,,,,34
SRB,,,,,,,,,,,,,,,,89,65,93,99,93,93,89,94,97,91
STP ,,,,,,,,,,,,,,,43,70,96,75,87,99,98,98,96,96,97
SUR ,,,,,,,,,,,,,,,,,83,84,84,84,87,86,86,84,86
SVK ,,,,,,,,,,,,98,99,99,99,99,99,99,99,99,99,99,99,99,98
SWZ ,,,,,,,,76,76,78,81,83,86,88,90,93,95,93,92,90,88,89,91,95,98
SYC ,,,,,,,99,98,97,97,99,98,96,99,99,99,99,99,99,99,99,99,99,99,99
SYR ,,,,5,23,64,74,75,76,77,78,79,80,80,81,82,83,83,83,83,84,84,66,43,71
TCD ,,,,,,,,,,,,,,,,,,,,17,24,39,33,45,48
TGO ,,,,,,,,,,,,,,,,,,,,24,78,83,85,84,84
THA ,,,,15,58,66,93,93,94,95,95,95,95,95,96,96,96,96,96,98,98,98,98,98,99
TJK ,,,,,,,,,,,,,,39,58,81,81,88,84,86,93,93,96,94,96
TKM ,,,,,,,,,,,,,,96,97,96,99,98,98,96,97,96,97,98,98
TLS,,,,,,,,,,,,,,,,,,,,79,72,72,67,83,82
TON ,,94,88,82,96,90,91,94,95,96,93,97,96,95,93,99,99,99,99,98,99,99,99,95,99
TTO ,,,,,,,,,,,,,,5,76,94,95,89,89,90,90,90,90,92,92
TUN ,,,,,,,,83,88,91,94,94,94,93,92,96,97,99,98,99,99,98,98,97,98
TUR ,,,,,,,,,,,,71,77,72,68,77,85,82,96,92,94,96,96,97,97
TUV ,,,,,,17,49,86,88,96,93,81,99,99,95,98,79,97,97,99,91,89,96,97,90
TZA ,,,,,,,,,,,,,,89,95,95,90,90,83,86,85,91,90,92,91
UGA ,,,,,,,,,,,,,,29,44,62,64,64,73,71,79,80,82,78,78
UKR ,,,,,,,,,,,,4,7,48,77,98,97,96,92,84,66,48,21,46,46
URY ,,,,,,,,,,,93,92,94,95,91,94,96,95,94,94,95,95,95,95,94
USA ,,,,,16,42,68,82,84,87,88,90,89,88,92,92,93,93,94,94,92,92,92,91,90
UZB ,,,,,,,,,,,,,,62,99,99,99,98,99,91,98,99,99,99,99
VCT ,,,,,,,,,,,,,,,31,99,99,99,99,99,99,99,96,96,96
VEN ,,,,,,,,,,,,5,53,60,72,82,88,71,62,53,84,78,78,81,82
VNM ,,,,,,,,,,,,,,,78,94,94,93,67,87,94,88,95,97,59
VUT ,,,46,82,82,69,66,69,75,73,71,70,68,66,64,63,61,59,59,59,59,59,59,59,59
WSM ,,,,18,1,94,96,98,99,99,99,96,98,98,97,70,60,56,69,38,72,87,91,99,95
YEM ,,,,,,,,,,,9,15,21,34,42,48,86,85,87,87,86,87,81,82,88
ZAF ,,,,,,,,,74,74,73,73,72,72,71,66,74,76,74,65,70,74,76,73,65
ZMB ,,,,,,,,,,,,,,,,,82,81,80,87,94,83,81,78,79
ZWE ,,,,,,,1,9,16,24,31,79,76,73,70,68,65,68,72,75,73,89,93,95,95